Aaron a.a.ʁɔ̃ 
Arthur aʁ.tyʁ 
article aʁ.tikl 
articles aʁ.tikl 
articulation aʁ.ti.ky.la.sjɔ̃ 
articulé aʁ.ti.ky.le 
articuler aʁ.ti.ky.le 
artifice aʁ.ti.fis 
artificiel aʁ.ti.fi.sjɛl 
artificielle aʁ.ti.fi.sjɛl 
artificiellement aʁ.ti.fi.sjɛl.mɑ̃ 
artificielles aʁ.ti.fi.sjɛl 
artillerie aʁ.tij.ʁi 
artilleur aʁ.ti.jœʁ 
artisan aʁ.ti.zɑ̃ 
artisanale aʁ.ti.za.nal 
artisanat aʁ.ti.za.na 
artisans aʁ.ti.zɑ̃ 
artiste aʁ.tist 
artistes aʁ.tist 
artistique aʁ.tis.tik 
artistiquement aʁ.tis.tik.mɑ̃ 
artistiques aʁ.tis.tik 
arts aʁ 
arythmie a.ʁit.mi 
as ɑs 
asbeste as.bɛst 
ascendant a.sɑ̃.dɑ̃ 
ascenseur a.sɑ̃.sœʁ 
ascension a.sɑ̃.sjɔ̃ 
Ascension a.sɑ̃.sjɔ̃ 
ascète a.sɛt 
ascétique a.se.tik 
ascétisme a.se.tism 
aseptique a.sɛp.tik 
asiatique a.zja.tik 
asiatiques a.zja.tik 
Asie a.zi 
asile a.zil 
asocial a.sɔ.sjal 
aspect as.pɛ 
aspects as.pɛ 
asperge as.pɛʁʒ 
asperger as.pɛʁ.ʒe 
asperges as.pɛʁ.ɛsʒ 
aspérité as.pe.ʁi.te 
asphaltage a.sfal.taʒ 
asphalte as.falt 
asphalté as.fal.te 
asphyxie as.fik.si 
aspic as.pik 
aspirant as.pi.ʁɑ̃ 
aspirateur as.pi.ʁa.tœʁ 
aspiration as.pi.ʁa.sjɔ̃ 
aspirations as.pi.ʁa.sjɔ̃ 
aspire as.piʁ 
aspirent as.piʁ 
aspirer as.pi.ʁe 
aspirine as.pi.ʁin 
assaillants a.sa.jɑ̃ 
assaillir a.sa.jiʁ 
assainir a.se.niʁ 
assainissement a.se.nis.mɑ̃ 
assaisonné a.sɛ.zɔ.ne 
assaisonnement a.sɛ.zɔn.mɑ̃ 
assaisonner a.sɛ.zɔ.ne 
assassin a.sa.sɛ̃ 
assassinat a.sa.si.na 
assassinats a.sa.si.na 
assassiné a.sa.si.ne 
assassiner a.sa.si.ne 
assassinés a.sa.si.ne 
assassins a.sa.sɛ̃ 
assaut a.so 
assauts a.so 
asse as 
assécher a.se.ʃe 
assemblage a.sɑ̃.blaʒ 
assemblé a.sɑ̃.ble 
assemblée a.sɑ̃.ble 
assemblées a.sɑ̃.ble 
assembler a.sɑ̃.ble 
Assen a.sɛn 
asséner a.se.ne 
assentiment a.sɑ̃.ti.mɑ̃ 
assertion a.sɛʁ.sjɔ̃ 
asservi a.sɛʁ.vi 
asservir a.sɛʁ.viʁ 
assez a.se 
assiduité a.si.dɥi.te 
assiéger a.sje.ʒe 
assiette a.sjɛt 
assignation a.si.ɲa.sjɔ̃ 
assigné a.si.ɲe 
assigner a.si.ɲe 
assimilateur a.si.mi.la.tœʁ 
assimilation a.si.mi.la.sjɔ̃ 
assimile a.si.mil 
assimilé a.si.mi.le 
assimiler a.si.mi.le 
assis a.si 
assise a.siz 
assises a.siz 
assistance a.sis.tɑ̃s 
assistant a.sis.tɑ̃ 
assistante a.sis.tɑ̃t 
assistants a.sis.tɑ̃ 
assiste a.sist 
assisté a.sis.te 
assistée a.sis.te 
assister a.sis.te 
assistera a.sis.t(ə.)ʁa 
associant a.sɔ.sjɑ̃ 
associatif a.sɔ.sja.tif 
association a.sɔ.sja.sjɔ̃ 
associations a.sɔ.sja.sjɔ̃ 
associative a.sɔ.sja.tiv 
associe a.sɔ.si 
associé a.sɔ.sje 
associée a.sɔ.sje 
associées a.sɔ.sje 
associer a.sɔ.sje 
associés a.sɔ.sje 
assoiffé a.swa.fe 
assombri a.sɔ̃.bʁi 
assommant a.sɔ.mɑ̃ 
assonance a.sɔ.nɑ̃s 
assorti a.sɔʁ.ti 
assortie a.sɔʁ.ti 
assortiment a.sɔʁ.ti.mɑ̃ 
assoupi a.su.pi 
assouplir a.su.pliʁ 
assouplissement a.su.plis.mɑ̃ 
assourdir a.suʁ.diʁ 
assourdissant a.suʁ.di.sɑ̃ 
assouvi a.su.vi 
assouvir a.su.viʁ 
assujetti a.sy.ʒe.ti 
assujettir a.sy.ʒe.tiʁ 
assume a.sym 
assumer a.sy.me 
assurait a.sy.ʁɛ 
assurance a.sy.ʁɑ̃s 
assurances a.sy.ʁɑ̃s 
assurant a.sy.ʁɑ̃ 
assure a.syʁ 
assuré a.sy.ʁe 
assurée a.sy.ʁe 
assurées a.sy.ʁe 
assurément a.sy.ʁe.mɑ̃ 
assurent a.syʁ 
assurer a.sy.ʁe 
assurera a.sy.ʁə.ʁa 
assurés a.sy.ʁe 
assureur a.sy.ʁœʁ 
assureurs a.sy.ʁœʁ 
astéroïde as.te.ʁɔ.id 
asthénie as.te.ni 
asthmatique as.ma.tik 
asthme asm 
asticoter as.ti.kɔ.te 
astigmate as.tiɡ.mat 
astigmatisme a.stiɡ.ma.tism 
astiquer as.ti.ke 
astrakan as.tʁa.kɑ̃ 
astre astʁ 
astreintes as.tʁɛ̃ 
astrologie as.tʁɔ.lɔ.ʒi 
astrologique as.tʁɔ.lɔ.ʒik 
astrologue as.tʁɔ.lɔɡ 
astronaute as.tʁɔ.not 
astronautique as.tʁo.no.tik 
astronome as.tʁɔ.nɔm 
astronomie as.tʁɔ.nɔ.mi 
astronomique as.tʁɔ.nɔ.mik 
astuce as.tys 
astucieux as.ty.sjø 
asymétrie a.si.me.tʁi 
asymétrique a.si.me.tʁik 
asynchrone a.sɛ̃.kʁɔn 
atavique a.ta.vik 
atavisme a.ta.vism 
atchoum a.tʃum 
atelier a.tə.lje 
ateliers a.tə.lje 
athée a.te 
athéisme a.te.ism 
Athènes a.tɛn 
athérosclérose a.te.ʁɔs.kle.ʁoz 
athlète at.lɛt 
athlétique at.le.tik 
athlétisme at.le.tism 
Atlanta at.lɑ̃.ta 
atlantes at.lɑ̃t 
atlantique at.lɑ̃.tik 
atlas at.lɑs 
atmosphère at.mɔs.fɛʁ 
atmosphérique at.mɔs.fe.ʁik 
atome a.tom 
atomique a.tɔ.mik 
atonie a.tɔ.ni 
atout a.tu 
atouts a.tu 
âtre ɑtʁ 
atroce at.ʁɔs 
atrocité a.tʁɔ.si.te 
atrophie a.tʁɔ.fi 
atropine a.tʁɔ.pin 
attaché a.ta.ʃe 
attachée a.ta.ʃe 
attachées a.ta.ʃe 
attachement a.taʃ.mɑ̃ 
attacher a.ta.ʃe 
attachés a.ta.ʃe 
attaque a.tak 
attaqué a.ta.ke 
attaquer a.ta.ke 
attaques a.tak 
attaqués a.ta.ke 
attardé a.taʁ.de 
atteignait a.tɛ.ɲɛ 
atteignant a.tɛ.ɲɑ̃ 
atteignent a.tɛɲ 
atteindra a.tɛ̃.dʁa 
atteindre a.tɛ̃dʁ 
atteint a.tɛ̃ 
atteinte a.tɛ̃t 
atteintes a.tɛ̃t 
atteints a.tɛ̃ 
atteler a.tle 
attend a.tɑ̃ 
attendaient a.tɑ̃.dɛ 
attendait a.tɑ̃.dɛ 
attendant a.tɑ̃.dɑ̃ 
attendent a.tɑ̃d 
attendons a.tɑ̃.dɔ̃ 
attendre a.tɑ̃dʁ 
attendrir ɑ.tɑ̃.dʁiʁ 
attendu a.tɑ̃.dy 
attendue a.tɑ̃.dy 
attendus a.tɑ̃.dy 
attentat a.tɑ̃.ta 
attentats a.tɑ̃.ta 
attente a.tɑ̃t 
attentes a.tɑ̃t 
attentif a.tɑ̃.tif 
attentifs a.tɑ̃.tif 
attention a.tɑ̃.sjɔ̃ 
attentionné a.tɑ̃.sjɔ.ne 
attentive a.tɑ̃.tif 
attentivement a.tɑ̃.tiv.mɑ̃ 
atterrir a.tɛ.ʁiʁ 
attestation a.tɛs.ta.sjɔ̃ 
attester a.tɛs.te 
attifé a.ti.fe 
attifer a.ti.fe 
attique a.tik 
attirant a.ti.ʁɑ̃ 
attire a.tiʁ 
attiré a.ti.ʁe 
attirent a.tiʁ 
attirer a.ti.ʁe 
attirés a.ti.ʁe 
